Date,Average,Min,Max,Ultimo
03-Jan-1994,7.7126,7.0525,8.385,7.4625
02-Jan-1995,7.1343,6.4675,7.5375,6.6725
02-Jan-1996,6.7035,6.5425,7.0075,6.87
02-Jan-1997,7.6364,6.855,8.0925,7.87
02-Jan-1998,7.9516,7.59,8.3475,8.065
04-Jan-1999,8.2671,7.71,8.6575,8.525
03-Jan-2000,9.1718,8.3425,10.3325,9.535
02-Jan-2001,10.326,9.265,10.995,10.6675
02-Jan-2002,9.7243,8.805,10.7275,8.825
02-Jan-2003,8.0894,7.275,8.8,7.275
02-Jan-2004,7.3496,6.5825,7.75,6.6125
03-Jan-2005,7.4775,6.6625,8.2525,7.9525
02-Jan-2006,7.3766,6.7925,7.9825,6.8725
02-Jan-2007,6.7607,6.2475,7.1125,6.4675
02-Jan-2008,6.5808,5.8425,8.38,7.7525
02-Jan-2009,7.6457,6.7725,9.22,7.2125
04-Jan-2010,7.2049,6.5325,8.065,6.8025
03-Jan-2011,6.4969,6.005,6.9759,6.9234
02-Jan-2012,6.7754,6.5005,7.285,6.5156
02-Jan-2013,6.514,6.294,6.836,6.5084
02-Jan-2014,6.8577,6.3392,7.8117,7.8117
02-Jan-2015,8.435,7.8239,8.839,8.3524
04-Jan-2016,8.5613,7.9202,9.3856,9.0971
02-Jan-2017,8.5386,7.9236,9.151,8.2322
02-Jan-2018,8.6921,7.8434,9.186,8.971
02-Jan-2019,9.4604,8.8685,9.9336,9.3171
